match_id;date;team;player;jersey;starter;minutes;points;rebounds;assists;fouls;turnovers;steals;blocks;plus_minus;efficiency
2517865;2024-09-21;usk praha;j. bruce;1;0;10:12;5;5;0;2;2;0;1;6;8
2517865;2024-09-21;usk praha;j. campbell;2;1;26:15;32;6;1;4;2;0;1;7;33
2517865;2024-09-21;usk praha;m. safarik;5;0;23:28;14;2;1;2;3;0;0;22;10
2517865;2024-09-21;usk praha;o. svec;6;1;27:38;13;3;7;2;0;1;1;5;20
2517865;2024-09-21;usk praha;p. samoura;7;1;28:38;7;6;3;3;0;0;0;-5;12
2517865;2024-09-21;usk praha;t. palas;8;0;0:00;0;0;0;0;0;0;0;0;0
2517865;2024-09-21;usk praha;m. jezek;9;0;0:07;0;0;0;0;0;0;0;0;0
2517865;2024-09-21;usk praha;m. kramosil;10;0;0:12;0;0;0;0;0;0;0;2;0
2517865;2024-09-21;usk praha;d. vlk;13;0;15:50;5;4;0;0;0;0;0;16;4
2517865;2024-09-21;usk praha;f. fuxa;21;0;18:38;4;2;2;3;1;0;0;16;4
2517865;2024-09-21;usk praha;h. ibarguen mosquera;23;1;22:40;12;6;0;2;3;0;1;-8;11
2517865;2024-09-21;usk praha;b. schilb;24;1;26:21;6;3;3;0;2;3;0;-1;8
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;j. fairweather;0;1;30:47;22;4;8;4;2;2;0;-5;23
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;c. bajema;2;1;36:08;16;5;3;3;0;3;1;-5;19
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;n. kemm;5;0;11:55;5;0;0;1;0;1;0;-10;5
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;f. kabrt;8;0;21:58;8;4;2;3;0;1;0;-9;12
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;t. jansa;9;0;8:36;3;3;0;1;0;0;0;-6;2
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;g. wiznitzer;11;1;20:40;2;2;1;4;4;0;1;-2;1
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;m. zvolanek;12;0;1:34;0;0;0;1;0;0;0;-3;0
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;t. valentiny;23;1;29:53;7;4;1;2;0;0;0;-6;3
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;l. festr;44;1;21:43;21;1;3;2;1;1;0;-10;22
2517865;2024-09-21;gba fruko-schulz jindrichuv hradec;j. micka;78;0;16:46;2;3;0;4;0;0;0;-4;2
2309844;2023-09-23;nh ostrava;e. weaver;0;1;41:05;19;6;5;5;2;0;0;3;18
2309844;2023-09-23;nh ostrava;c. jeter;4;1;25:18;20;8;1;4;6;0;1;5;20
2309844;2023-09-23;nh ostrava;m. majercak;5;1;17:08;8;4;1;5;0;2;0;-14;9
2309844;2023-09-23;nh ostrava;d. heinzl;7;0;12:34;4;7;0;3;3;0;0;-17;6
2309844;2023-09-23;nh ostrava;d. jakel;9;0;0:00;0;0;0;0;0;0;0;0;0
2309844;2023-09-23;nh ostrava;m. snopek;10;1;10:23;5;1;1;1;0;2;0;-6;6
2309844;2023-09-23;nh ostrava;k. tyml;13;0;31:40;10;4;4;3;1;2;0;6;11
2309844;2023-09-23;nh ostrava;m. cank;19;0;3:57;1;1;0;0;0;0;0;-6;-1
2309844;2023-09-23;nh ostrava;e. williams;21;1;38:45;16;10;4;4;0;1;1;0;24
2309844;2023-09-23;nh ostrava;m. janu;23;0;1:15;0;0;0;0;0;1;0;0;0
2309844;2023-09-23;nh ostrava;j. micka;78;0;13:23;2;1;0;2;2;0;0;1;-2
2309844;2023-09-23;nh ostrava;s. svoboda;88;0;29:32;11;4;2;2;2;1;0;-2;13
2309844;2023-09-23;bk opava;a. pechacek;0;0;5:38;2;2;0;1;1;0;0;4;2
2309844;2023-09-23;bk opava;j. svandrlik;8;1;24:29;7;4;1;3;0;1;0;2;9
2309844;2023-09-23;bk opava;f. zbranek;9;0;12:48;4;2;1;0;0;0;0;6;4
2309844;2023-09-23;bk opava;r. farsky;10;0;3:28;0;0;0;1;1;0;0;-10;-2
2309844;2023-09-23;bk opava;m. kvapil;12;0;7:13;0;2;0;0;0;0;0;-2;-1
2309844;2023-09-23;bk opava;m. gniadek;14;0;15:02;0;5;3;3;1;0;1;2;7
2309844;2023-09-23;bk opava;j. mokran;18;1;26:40;17;6;2;5;2;0;0;-5;21
2309844;2023-09-23;bk opava;s. pursl;20;1;24:46;7;8;0;2;3;0;0;2;8
2309844;2023-09-23;bk opava;r. kouril;21;0;22:23;13;4;2;1;3;1;0;9;10
2309844;2023-09-23;bk opava;l. jurecka;23;0;22:02;12;4;1;3;0;2;1;21;13
2309844;2023-09-23;bk opava;j. sirina;24;1;34:13;28;2;8;2;0;2;0;-1;32
2309844;2023-09-23;bk opava;j. slavik;33;1;26:18;12;2;0;3;4;3;1;2;8
