match_id;period;clock;gt;team;player;action_type;sub_type;success;score_home;score_away
2517865;4;00:00:00;00:00;;;game;end;1;98;86
2517865;4;00:00:00;00:00;;;period;end;1;98;86
2517865;4;00:11:60;00:11;usk praha;o. svec;freethrow;2of2;1;98;86
2517865;4;00:11:60;00:11;usk praha;o. svec;freethrow;1of2;1;97;86
2517865;4;00:11:60;00:11;usk praha;j. campbell;substitution;out;1;96;86
2517865;4;00:11:60;00:11;usk praha;m. kramosil;substitution;in;1;96;86
2517865;4;00:11:60;00:11;usk praha;o. svec;foulon;;1;96;86
2517865;4;00:11:60;00:11;gba fruko-schulz jindrichuv hradec;t. valentiny;foul;personal;1;96;86
2517865;4;00:27:50;00:27;usk praha;o. svec;rebound;defensive;1;96;86
2517865;4;00:31:60;00:31;gba fruko-schulz jindrichuv hradec;t. valentiny;3pt;jumpshot;0;96;86
2517865;4;00:40:30;00:40;usk praha;o. svec;assist;;1;96;86
2517865;4;00:40:30;00:40;usk praha;j. campbell;2pt;layup;1;96;86
2517865;4;00:49:40;00:49;gba fruko-schulz jindrichuv hradec;f. kabrt;freethrow;2of2;1;94;86
2517865;4;00:49:40;00:49;gba fruko-schulz jindrichuv hradec;f. kabrt;freethrow;1of2;1;94;85
2517865;4;00:49:40;00:49;gba fruko-schulz jindrichuv hradec;f. kabrt;foulon;;1;94;84
2517865;4;00:49:40;00:49;usk praha;o. svec;foul;personal;1;94;84
2517865;4;00:53:70;00:53;gba fruko-schulz jindrichuv hradec;f. kabrt;steal;;1;94;84
2517865;4;00:53:70;00:53;usk praha;m. safarik;turnover;badpass;1;94;84
2517865;4;00:59:80;00:59;gba fruko-schulz jindrichuv hradec;l. festr;assist;;1;94;84
2517865;4;00:59:80;00:59;gba fruko-schulz jindrichuv hradec;j. fairweather;3pt;jumpshot;1;94;84
2517865;4;01:24:00;01:24;usk praha;f. fuxa;assist;;1;94;81
2517865;4;01:24:00;01:24;usk praha;m. safarik;3pt;jumpshot;1;94;81
2517865;4;01:30:00;01:30;usk praha;o. svec;assist;;1;91;81
2517865;4;01:30:00;01:30;usk praha;f. fuxa;freethrow;2of2;1;91;81
2517865;4;01:30:00;01:30;usk praha;f. fuxa;freethrow;1of2;0;90;81
2517865;4;01:30:00;01:30;gba fruko-schulz jindrichuv hradec;g. wiznitzer;substitution;out;1;90;81
2517865;4;01:30:00;01:30;gba fruko-schulz jindrichuv hradec;l. festr;substitution;in;1;90;81
2517865;4;01:30:00;01:30;gba fruko-schulz jindrichuv hradec;;timeout;full;1;90;81
2517865;4;01:30:00;01:30;usk praha;f. fuxa;foulon;;1;90;81
2517865;4;01:30:00;01:30;gba fruko-schulz jindrichuv hradec;c. bajema;foul;unsportsmanlike;1;90;81
2517865;4;01:34:00;01:34;usk praha;f. fuxa;rebound;defensive;1;90;81
2517865;4;01:38:00;01:38;gba fruko-schulz jindrichuv hradec;j. fairweather;2pt;floatingjumpshot;0;90;81
2517865;4;01:50:00;01:50;usk praha;j. campbell;2pt;drivinglayup;1;90;81
2517865;4;02:00:00;02:00;gba fruko-schulz jindrichuv hradec;f. kabrt;assist;;1;88;81
2517865;4;02:00:00;02:00;gba fruko-schulz jindrichuv hradec;t. valentiny;3pt;jumpshot;1;88;81
2517865;4;02:04:00;02:04;gba fruko-schulz jindrichuv hradec;t. jansa;substitution;out;1;88;78
2517865;4;02:04:00;02:04;gba fruko-schulz jindrichuv hradec;t. valentiny;substitution;in;1;88;78
2517865;4;02:21:00;02:21;usk praha;o. svec;2pt;drivinglayup;1;88;78
2517865;4;02:22:00;02:22;usk praha;o. svec;rebound;defensive;1;86;78
2517865;4;02:25:00;02:25;gba fruko-schulz jindrichuv hradec;c. bajema;2pt;dunk;0;86;78
2517865;4;02:30:00;02:30;gba fruko-schulz jindrichuv hradec;c. bajema;steal;;1;86;78
2517865;4;02:30:00;02:30;usk praha;m. safarik;turnover;badpass;1;86;78
2517865;4;02:41:00;02:41;gba fruko-schulz jindrichuv hradec;j. fairweather;2pt;floatingjumpshot;1;86;78
2517865;4;02:49:00;02:49;usk praha;j. campbell;2pt;layup;1;86;76
2517865;4;02:49:00;02:49;usk praha;j. campbell;rebound;offensive;1;84;76
2517865;4;02:53:00;02:53;usk praha;m. safarik;2pt;drivinglayup;0;84;76
2517865;4;03:01:00;03:01;gba fruko-schulz jindrichuv hradec;l. festr;substitution;out;1;84;76
2517865;4;03:01:00;03:01;gba fruko-schulz jindrichuv hradec;t. jansa;substitution;in;1;84;76
2517865;4;03:01:00;03:01;usk praha;;timeout;full;1;84;76
2517865;4;03:16:00;03:16;usk praha;;rebound;defensive;1;84;76
2517865;4;03:16:00;03:16;gba fruko-schulz jindrichuv hradec;j. fairweather;3pt;jumpshot;0;84;76
2517865;4;03:33:00;03:33;usk praha;j. campbell;freethrow;3of3;1;84;76
2517865;4;03:33:00;03:33;usk praha;o. svec;assist;;1;83;76
2517865;4;03:33:00;03:33;usk praha;j. campbell;freethrow;2of3;1;83;76
2517865;4;03:33:00;03:33;usk praha;j. campbell;freethrow;1of3;0;82;76
2517865;4;03:33:00;03:33;usk praha;j. campbell;foulon;;1;82;76
2517865;4;03:33:00;03:33;gba fruko-schulz jindrichuv hradec;l. festr;foul;personal;1;82;76
2517865;4;03:35:00;03:35;usk praha;b. schilb;rebound;defensive;1;82;76
2517865;4;03:38:00;03:38;gba fruko-schulz jindrichuv hradec;f. kabrt;2pt;jumpshot;0;82;76
2517865;4;04:04:00;04:04;usk praha;p. samoura;substitution;out;1;82;76
2517865;4;04:04:00;04:04;usk praha;m. safarik;substitution;in;1;82;76
2517865;4;04:04:00;04:04;usk praha;p. samoura;freethrow;2of2;1;82;76
2517865;4;04:04:00;04:04;usk praha;o. svec;assist;;1;81;76
2517865;4;04:04:00;04:04;usk praha;p. samoura;freethrow;1of2;1;81;76
2517865;4;04:04:00;04:04;gba fruko-schulz jindrichuv hradec;t. valentiny;substitution;out;1;80;76
2517865;4;04:04:00;04:04;gba fruko-schulz jindrichuv hradec;f. kabrt;substitution;in;1;80;76
2517865;4;04:04:00;04:04;usk praha;p. samoura;foulon;;1;80;76
2517865;4;04:04:00;04:04;gba fruko-schulz jindrichuv hradec;t. valentiny;foul;personal;1;80;76
2517865;4;04:30:00;04:30;gba fruko-schulz jindrichuv hradec;j. fairweather;assist;;1;80;76
2517865;4;04:30:00;04:30;gba fruko-schulz jindrichuv hradec;l. festr;3pt;jumpshot;1;80;76
2517865;4;04:53:00;04:53;gba fruko-schulz jindrichuv hradec;;timeout;full;1;80;73
2517865;4;04:55:00;04:55;usk praha;p. samoura;assist;;1;80;73
2517865;4;04:55:00;04:55;usk praha;j. campbell;3pt;jumpshot;1;80;73
2517865;4;05:11:00;05:11;usk praha;j. campbell;rebound;defensive;1;77;73
2517865;4;05:17:00;05:17;gba fruko-schulz jindrichuv hradec;j. fairweather;2pt;pullupjumpshot;0;77;73
2517865;4;05:28:00;05:28;usk praha;j. campbell;freethrow;3of3;1;77;73
2517865;4;05:28:00;05:28;usk praha;p. samoura;assist;;1;76;73
2517865;4;05:28:00;05:28;usk praha;j. campbell;freethrow;2of3;1;76;73
2517865;4;05:28:00;05:28;usk praha;j. campbell;freethrow;1of3;0;75;73
2517865;4;05:29:00;05:29;usk praha;j. campbell;foulon;;1;75;73
2517865;4;05:29:00;05:29;gba fruko-schulz jindrichuv hradec;j. fairweather;foul;personal;1;75;73
